"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상","2025년05월_남_총인구수","2025년05월_남_연령구간인구수","2025년05월_남_0~9세","2025년05월_남_10~19세","2025년05월_남_20~29세","2025년05월_남_30~39세","2025년05월_남_40~49세","2025년05월_남_50~59세","2025년05월_남_60~69세","2025년05월_남_70~79세","2025년05월_남_80~89세","2025년05월_남_90~99세","2025년05월_남_100세 이상","2025년05월_여_총인구수","2025년05월_여_연령구간인구수","2025년05월_여_0~9세","2025년05월_여_10~19세","2025년05월_여_20~29세","2025년05월_여_30~39세","2025년05월_여_40~49세","2025년05월_여_50~59세","2025년05월_여_60~69세","2025년05월_여_70~79세","2025년05월_여_80~89세","2025년05월_여_90~99세","2025년05월_여_100세 이상"
"전국  (0000000000)","51,169,148","51,169,148","3,054,159","4,624,674","5,839,235","6,639,920","7,646,648","8,685,987","7,844,428","4,345,685","2,132,401","347,183","8,828","25,470,398","25,470,398","1,565,030","2,375,824","3,035,454","3,470,255","3,890,113","4,381,967","3,866,462","2,006,409","794,902","82,437","1,545","25,698,750","25,698,750","1,489,129","2,248,850","2,803,781","3,169,665","3,756,535","4,304,020","3,977,966","2,339,276","1,337,499","264,746","7,283"
"서울특별시  (1100000000)","9,328,042","9,328,042","472,605","722,079","1,289,475","1,450,047","1,373,649","1,481,564","1,320,507","800,656","363,626","52,340","1,494","4,499,145","4,499,145","242,341","368,645","605,255","725,490","678,683","728,904","625,693","361,066","148,225","14,506","337","4,828,897","4,828,897","230,264","353,434","684,220","724,557","694,966","752,660","694,814","439,590","215,401","37,834","1,157"
"부산광역시  (2600000000)","3,254,457","3,254,457","176,120","263,778","349,590","388,163","465,232","534,375","555,890","349,420","151,559","19,893","437","1,582,928","1,582,928","90,234","135,002","178,595","200,522","235,259","262,088","260,795","157,479","58,213","4,684","57","1,671,529","1,671,529","85,886","128,776","170,995","187,641","229,973","272,287","295,095","191,941","93,346","15,209","380"
"대구광역시  (2700000000)","2,357,997","2,357,997","138,715","212,619","261,200","283,522","340,025","415,788","376,327","213,063","101,572","14,888","278","1,155,934","1,155,934","71,267","109,139","136,928","151,430","169,160","202,943","179,763","94,534","37,123","3,604","43","1,202,063","1,202,063","67,448","103,480","124,272","132,092","170,865","212,845","196,564","118,529","64,449","11,284","235"
"인천광역시  (2800000000)","3,037,049","3,037,049","192,591","274,662","346,176","426,717","474,261","516,826","465,156","222,817","100,282","17,024","537","1,517,498","1,517,498","98,697","140,826","178,731","222,909","244,374","257,970","229,327","103,706","37,078","3,780","100","1,519,551","1,519,551","93,894","133,836","167,445","203,808","229,887","258,856","235,829","119,111","63,204","13,244","437"
"광주광역시  (2900000000)","1,399,880","1,399,880","89,536","144,417","176,687","173,459","216,265","243,260","190,866","106,460","50,783","7,964","183","690,826","690,826","45,650","74,465","92,131","90,183","107,898","120,497","91,531","47,239","19,323","1,887","22","709,054","709,054","43,886","69,952","84,556","83,276","108,367","122,763","99,335","59,221","31,460","6,077","161"
"대전광역시  (3000000000)","1,439,607","1,439,607","89,061","136,072","190,660","192,515","210,958","242,957","207,354","110,368","51,098","8,351","213","717,511","717,511","45,822","69,918","99,514","102,408","105,566","121,312","100,538","50,875","19,444","2,076","38","722,096","722,096","43,239","66,154","91,146","90,107","105,392","121,645","106,816","59,493","31,654","6,275","175"
"울산광역시  (3100000000)","1,094,027","1,094,027","70,387","109,110","114,230","136,365","170,681","201,033","176,685","81,289","29,878","4,282","87","563,339","563,339","36,056","56,745","65,766","75,063","88,351","100,687","89,247","39,345","11,161","910","8","530,688","530,688","34,331","52,365","48,464","61,302","82,330","100,346","87,438","41,944","18,717","3,372","79"
"세종특별자치시  (3600000000)","392,211","392,211","40,326","53,242","36,867","58,532","77,012","58,051","39,246","18,716","8,424","1,756","39","195,189","195,189","20,500","26,945","18,707","28,986","37,735","30,262","19,576","8,974","3,126","374","4","197,022","197,022","19,826","26,297","18,160","29,546","39,277","27,789","19,670","9,742","5,298","1,382","35"
"경기도  (4100000000)","13,706,488","13,706,488","916,091","1,321,658","1,598,421","1,912,658","2,196,486","2,359,599","1,931,208","945,073","449,357","73,926","2,011","6,886,034","6,886,034","468,867","675,883","836,334","1,001,675","1,121,365","1,187,302","963,726","439,979","171,814","18,662","427","6,820,454","6,820,454","447,224","645,775","762,087","910,983","1,075,121","1,172,297","967,482","505,094","277,543","55,264","1,584"
