지역별,성별,1종_대형,1종_보통,1종_소형,1종_대형견인,1종_소형견인,1종_구난,2종_보통,2종_소형,2종_원자
서울,남,252046,2247957,1,152,470,83,952439,4132,24256
서울,여,8807,755990,0,12,142,0,2081193,354,4385
부산,남,134373,802935,2,788,72,49,216367,1209,8728
부산,여,3592,289740,0,38,24,0,571854,53,1889
대구,남,114516,646877,0,55,221,26,117351,662,6282
대구,여,3234,296879,0,3,58,0,413971,25,1945
인천,남,157819,778120,2,241,167,63,217132,663,5153
인천,여,5132,290908,0,24,53,4,569407,46,1092
광주,남,83079,359646,0,35,82,35,78484,251,3051
광주,여,3075,175551,0,1,33,2,254144,7,629
대전,남,67569,373618,0,38,148,39,98082,371,3503
대전,여,2097,164066,0,7,35,1,262425,27,804
울산,남,61872,310523,0,68,68,11,67332,271,2904
울산,여,2050,135369,0,7,22,1,192748,7,521
세종,남,17304,97735,0,11,47,10,23789,35,907
세종,여,745,46102,0,0,21,0,76489,1,340
경기남부,남,444613,2700557,2,314,1115,321,833884,2339,17919
경기남부,여,14937,965624,0,27,266,8,2103755,177,3323
경기북부,남,182109,903031,2,82,370,88,259251,791,6272
경기북부,여,6517,346199,0,11,102,9,719229,70,1069
강원,남,105105,388492,0,31,74,20,88822,295,5800
강원,여,3147,187257,0,5,38,1,244370,19,1292
충북,남,103599,422583,0,72,70,43,101356,359,7693
충북,여,3275,184476,0,12,28,0,264595,12,2811
충남,남,143443,554360,0,105,224,58,145869,543,13406
충남,여,4344,229228,0,19,72,3,359504,22,5107
전북,남,129054,426218,0,68,81,30,97217,396,9530
전북,여,3686,203169,0,13,25,0,274348,16,3302
전남,남,136703,433711,0,170,85,43,100174,343,12533
전남,여,4426,194710,0,10,28,2,264625,10,5108
경북,남,170703,695018,0,182,202,67,120461,585,15105
경북,여,4060,362050,0,14,56,3,341927,17,6647
경남,남,185163,846717,0,386,120,82,204121,788,15057
경남,여,5759,367318,0,47,34,0,531293,15,6866
제주,남,45926,167760,0,8,31,13,46110,153,2031
제주,여,1517,98941,0,1,10,0,115107,10,2024
