시도,시군구,택시,버스
대구광역시,달성군,86,0
울산광역시,울주군,109,0
대전광역시,대전광역시,7642,0
충청북도,충주시,54,0
충청북도,단양군,80,0
충청북도,제천시,13,0
충청북도,괴산군,51,0
충청북도,증평군,99,0
충청남도,청양군,68,0
충청남도,서산시,451,0
충청남도,부여군,173,0
충청남도,계룡시,66,0
충청남도,당진시,318,0
충청남도,보령군,3,0
충청남도,공주시,25,0
전라북도,전주시,33,8
전라북도,김제시,0,3
전라북도,무주군,59,4
전라북도,장수군,30,8
전라북도,부안군,60,0
전라북도,완주군,0,13
전라북도,임실군,46,4
전라북도,순창군,50,0
전라북도,고창군,50,0
전라남도,순천시,59,0
전라남도,여수시,12,0
전라남도,강진군,63,0
전라남도,해남군,184,0
전라남도,진도군,33,0
경상북도,포항시,4,0
경상북도,경주시,109,0
경상북도,고령군,43,0
경상북도,김천시,13,0
경상북도,청도군,23,0
경상북도,안동시,662,0
경상북도,영천시,318,0
경상북도,의성군,38,0
경상북도,문경시,545,0
경상북도,영주시,66,0
경상북도,예천군,71,0
경상북도,경산시,429,0
경상북도,상주시,28,0
경상북도,영양군,33,0
경상남도,창원시,149,0
경상남도,사천시,294,0
경상남도,김해시,166,0
경상남도,밀양시,95,0
경상남도,거제시,682,0
경상남도,의령군,62,0
경상남도,함안군,122,0
경상남도,창녕군,76,0
경상남도,고성군,92,0
경상남도,남해군,46,0
경상남도,하동군,55,0
경상남도,산청군,71,0
경상남도,거창군,101,0
경상남도,함양군,63,0
경상남도,합천군,104,0
경기도,포천시,90,0
경기도,가평군,153,0
경기도,남양주시,33,0
경기도,안산시,44,0
경기도,안성시,47,0
경기도,시흥시,12,0
경기도,화성시,165,0
강원도,원주시,1776,
강원도,평창군,128,0
